web-scraper-order,web-scraper-start-url,handle,name,content,replies,retweets,favorites,unix_timestamp,published_date,url,Unnamed: 11
1568946294-4053,https://twitter.com/search?f=tweets&q=%23baywatch%20since%3A2017-05-05%20until%3A2017-05-08&src=typd,@SuperstarCineMY,Superstar Cinema,"Live fast, run slow. Watch the #Baywatch trailer starring Dwayne The Rock Johnson and Zac Efron. In theatres June... http://fb.me/1kzq2qTMx",,,,1493958425000,9:27 PM - 4 May 2017,/SuperstarCineMY/status/860350108419989505,
1568946294-3789,https://twitter.com/search?f=tweets&q=%23baywatch%20since%3A2017-05-05%20until%3A2017-05-08&src=typd,@hugefatloser,Huge Fat Loser,@TheRock if you could please refrain from stopping traffic during my commute that would be great  #Baywatch #BAYWATCHMOVIE #THEROCKpic.twitter.com/u8IViVA1sK,,,,1494086848000,9:07 AM - 6 May 2017,/hugefatloser/status/860888753740668928,
1568946294-4000,https://twitter.com/search?f=tweets&q=%23baywatch%20since%3A2017-05-05%20until%3A2017-05-08&src=typd,@comicconbd,Comic-Con Bangladesh,"Splish, splash! Beaches ain't ready for May 25, 2017.
#BayWatch #comicconbd #Bangladesh #ParamountPictures... http://fb.me/4U6TqFjd7",,,,1493980431000,3:33 AM - 5 May 2017,/comicconbd/status/860442410068791296,
1568946294-3816,https://twitter.com/search?f=tweets&q=%23baywatch%20since%3A2017-05-05%20until%3A2017-05-08&src=typd,@WDEng_Portal,Webdunia English,"#Nirbhaya #Nirbhayaverdict #NirbhayaGetsJustice #Baywatch #PriyankaChopra 
http://english.webdunia.com/article/bollywood-masala/proud-of-the-judiciary-for-hearing-nirbhaya%E2%80%99s-voice-priyanka-chopra-117050600010_1.html …",,,,1494071155000,4:45 AM - 6 May 2017,/WDEng_Portal/status/860822933652033536,
1568946294-4067,https://twitter.com/search?f=tweets&q=%23baywatch%20since%3A2017-05-05%20until%3A2017-05-08&src=typd,@MichaelDeinstad,Michael Deinstadt,My wife wanted a pic with @TheRock so I took one with this gorgeous lady @priyankachopra #Baywatch pic.twitter.com/L2cvBKwJyU,3.0,21.0,52,1493948284000,6:38 PM - 4 May 2017,/MichaelDeinstad/status/860307574226173952,
1568946294-3820,https://twitter.com/search?f=tweets&q=%23baywatch%20since%3A2017-05-05%20until%3A2017-05-08&src=typd,@SammyAmmons,SammyAmmons,@TheRock @AADaddario #Baywatch pic.twitter.com/ZzInHTQ62h,,1.0,2,1494069063000,4:11 AM - 6 May 2017,/SammyAmmons/status/860814160048816129,
1568946294-3842,https://twitter.com/search?f=tweets&q=%23baywatch%20since%3A2017-05-05%20until%3A2017-05-08&src=typd,@godslovenotespk,Karina.jurado. 👑,@TheRock #baywatch pic.twitter.com/TwX7XdVm8i,,,1,1494043979000,9:12 PM - 5 May 2017,/godslovenotespk/status/860708950697680896,
1568946294-3710,https://twitter.com/search?f=tweets&q=%23baywatch%20since%3A2017-05-05%20until%3A2017-05-08&src=typd,@Briddii,Britta,"#Baywatch sm Morgen, vertreibt Kummer und Sorgen. #RTLNitro #Sonntag #Hangover",,,,1494144659000,1:10 AM - 7 May 2017,/Briddii/status/861131232188518401,
1568946294-3782,https://twitter.com/search?f=tweets&q=%23baywatch%20since%3A2017-05-05%20until%3A2017-05-08&src=typd,@arvys_world,Arv,Watching for Bae #miami #baywatch https://www.instagram.com/p/BTwkmeOFF5j/,,,,1494090969000,10:16 AM - 6 May 2017,/arvys_world/status/860906040623341572,
1568946294-4038,https://twitter.com/search?f=tweets&q=%23baywatch%20since%3A2017-05-05%20until%3A2017-05-08&src=typd,@vistacinemas,Vista Cinemas,"Catch Dwayne The Rock Johnson and Zac Efron in #Baywatch, coming to Vista Cinemas May 31! http://fb.me/yUlQxr5h",,,,1493972049000,1:14 AM - 5 May 2017,/vistacinemas/status/860407253177946112,
1568946294-4026,https://twitter.com/search?f=tweets&q=%23baywatch%20since%3A2017-05-05%20until%3A2017-05-08&src=typd,@Riyogems,Riyogems,#mustache #baywatch #jeweller #sono #chocolate #Riyo #jewelry #gems #Handmade #Copper #Pendant http://stores.ebay.de/riyode pic.twitter.com/HeTsQ6eq1m,,,,1493976768000,2:32 AM - 5 May 2017,/Riyogems/status/860427045838434304,
1568946294-3963,https://twitter.com/search?f=tweets&q=%23baywatch%20since%3A2017-05-05%20until%3A2017-05-08&src=typd,@MediaNetwerk,Nederlands MediaNetwerk,#Pathé @TheBeach toont #PiratesoftheCaribbean en de première van #Baywatch @Pathe - https://shar.es/1FAUpB pic.twitter.com/v2b5kXSYDR,,1.0,,1493998090000,8:28 AM - 5 May 2017,/MediaNetwerk/status/860516476113047555,
1568946294-3844,https://twitter.com/search?f=tweets&q=%23baywatch%20since%3A2017-05-05%20until%3A2017-05-08&src=typd,@lau70neo,Hendry Laurens,Happy Birthday @TheRock...gonna see you again soon at the beach #Baywatch,,,,1494043480000,9:04 PM - 5 May 2017,/lau70neo/status/860706856418689024,
1568946294-3645,https://twitter.com/search?f=tweets&q=%23baywatch%20since%3A2017-05-05%20until%3A2017-05-08&src=typd,@ENTORNOALCINE,ENTORNO AL CINE®,"#ESTRENOS En junio #SethGordon nos presentará #Baywatch
#GuardianesDeLaBahía... http://ow.ly/5XGB30bmY4B",,,,1494182414000,11:40 AM - 7 May 2017,/ENTORNOALCINE/status/861289589163659266,
1568946294-3790,https://twitter.com/search?f=tweets&q=%23baywatch%20since%3A2017-05-05%20until%3A2017-05-08&src=typd,@Jdkennedy54,Dan Kennedy,#YYZ #BAYWATCH,,,,1494086146000,8:55 AM - 6 May 2017,/Jdkennedy54/status/860885809003712512,
1568946294-4068,https://twitter.com/search?f=tweets&q=%23baywatch%20since%3A2017-05-05%20until%3A2017-05-08&src=typd,@DonnaGlyTch,Donna Glytch,#tbt to last summer on my #baywatch with celebrity photographer/ friend @reubencphoto… https://www.instagram.com/p/BTsURafAyeJ/,,,1,1493948190000,6:36 PM - 4 May 2017,/DonnaGlyTch/status/860307182637776898,
1568946294-3937,https://twitter.com/search?f=tweets&q=%23baywatch%20since%3A2017-05-05%20until%3A2017-05-08&src=typd,@thelowflyingowl,Sr. Mott El Hoople,"Don't judge, you would too. #zacefron #baywatch #zaffron https://www.instagram.com/p/BTuA7s8jxkW/",,,,1494005160000,10:26 AM - 5 May 2017,/thelowflyingowl/status/860546129376813056,
1568946294-3672,https://twitter.com/search?f=tweets&q=%23baywatch%20since%3A2017-05-05%20until%3A2017-05-08&src=typd,@iguanomayor,Iguanomayor,Para los que no sepan que pedo con los personajes  de #Baywatch https://twitter.com/fotogramas_es/status/861226681197109248 …,,,,1494169072000,7:57 AM - 7 May 2017,/iguanomayor/status/861233627404828672,
1568946294-3762,https://twitter.com/search?f=tweets&q=%23baywatch%20since%3A2017-05-05%20until%3A2017-05-08&src=typd,@ehs_wildcats,EHS,Zac's trainer also talked to Cosmopolitan UK for their June 2017 issue about getting a #Baywatch body: pic.twitter.com/nNBNcaGvIi,,4.0,10,1494102541000,1:29 PM - 6 May 2017,/ehs_wildcats/status/860954577901891584,
1568946294-3697,https://twitter.com/search?f=tweets&q=%23baywatch%20since%3A2017-05-05%20until%3A2017-05-08&src=typd,@IHemangp,legally speaking,#Baywatch in #gujarati @KhudGabbar_ @PhotoChhoree @harshild @priyankachopra @maulikgalapic.twitter.com/7mR6OtfvfY,,1.0,1,1494150751000,2:52 AM - 7 May 2017,/IHemangp/status/861156784337289216,
1568946294-3985,https://twitter.com/search?f=tweets&q=%23baywatch%20since%3A2017-05-05%20until%3A2017-05-08&src=typd,@Jason_EntFocus,JASON PALMER,New Baywatch footage released https://goo.gl/Db8pHb  #Baywatch #AlexandraDaddario #KellyRohrbach #IlfeneshHaderapic.twitter.com/JFQbngc8r3,,1.0,,1493989828000,6:10 AM - 5 May 2017,/Jason_EntFocus/status/860481822840557569,
1568946294-3980,https://twitter.com/search?f=tweets&q=%23baywatch%20since%3A2017-05-05%20until%3A2017-05-08&src=typd,@YahooEnt,Yahoo Entertainment,"Very merry month of May for #DavidHasselhoff, back in pop-culture spotlight via #Baywatch, #GuardiansoftheGalaxy2 https://yhoo.it/2pdBEUd pic.twitter.com/8kxwWjkb7U",,3.0,13,1493992987000,7:03 AM - 5 May 2017,/YahooEnt/status/860495074542714883,
1568946294-3602,https://twitter.com/search?f=tweets&q=%23baywatch%20since%3A2017-05-05%20until%3A2017-05-08&src=typd,@noeldwaynerock,Noel McGuinness,"@TheRock #Baywatch I can't find any red shorts in Ireland, I gotta get my style on for May 25th",,,,1494198988000,4:16 PM - 7 May 2017,/noeldwaynerock/status/861359104073375744,
1568946294-3873,https://twitter.com/search?f=tweets&q=%23baywatch%20since%3A2017-05-05%20until%3A2017-05-08&src=typd,@YanMinYang1,Yan Min Yang,#YUL Montreal please! #Baywatch,,,,1494027945000,4:45 PM - 5 May 2017,/YanMinYang1/status/860641697407127553,
1568946294-4049,https://twitter.com/search?f=tweets&q=%23baywatch%20since%3A2017-05-05%20until%3A2017-05-08&src=typd,@LoriLynnBarker,LoriLynnBarker,Love this movie poster. #baywatch #movies #LetsEat @ Amc Brighton Pavilions https://www.instagram.com/p/BTsvq7NAoj7/,,,,1493962555000,10:35 PM - 4 May 2017,/LoriLynnBarker/status/860367431516213249,
1568946294-3661,https://twitter.com/search?f=tweets&q=%23baywatch%20since%3A2017-05-05%20until%3A2017-05-08&src=typd,@meetgoodwill,Goodwill Industries of the Columbia Willamette,#Young & shiny a #retro #AutographedPicture of @DavidHasselhoff http://tinyurl.com/m3deg3o  #BayWatch #HoffTheRecord #lifeguardpic.twitter.com/QNjgJb1W8Q,,,,1494176447000,10:00 AM - 7 May 2017,/meetgoodwill/status/861264560619171840,
1568946294-4070,https://twitter.com/search?f=tweets&q=%23baywatch%20since%3A2017-05-05%20until%3A2017-05-08&src=typd,@archbyccb,Chris Burns,Baywatch | Under Armour Marketing http://www.arch-usa.com/baywatch-under-armour-marketing/ … #underarmour #ilikethisdirection #baywatch #baewatch,,,,1493947433000,6:23 PM - 4 May 2017,/archbyccb/status/860304007293751297,
1568946294-3761,https://twitter.com/search?f=tweets&q=%23baywatch%20since%3A2017-05-05%20until%3A2017-05-08&src=typd,@tomlarmstrong76,Tom Armstrong,"The #Baywatch trailer looks soooo dumb. But dumb in that enjoyable way. The original show was lame as fuck, seems like the movie gets it.",,,,1494103682000,1:48 PM - 6 May 2017,/tomlarmstrong76/status/860959363325988867,
1568946294-3993,https://twitter.com/search?f=tweets&q=%23baywatch%20since%3A2017-05-05%20until%3A2017-05-08&src=typd,@MashUpStanleyT,Stanley T,#Baywatch then and now: See the film's stars vs. the TV favorites http://thr.cm/tsZYgj pic.twitter.com/rECGalCpKF,,,,1493983815000,4:30 AM - 5 May 2017,/MashUpStanleyT/status/860456604692619264,
1568946294-3737,https://twitter.com/search?f=tweets&q=%23baywatch%20since%3A2017-05-05%20until%3A2017-05-08&src=typd,@pipocaloucabr,Pipoca Louca,"""#Baywatch""- Filme de comédia terá The Rock ... -  - http://www.pipocalouca.com.br/noticia/novidades/baywatch-filme-de-comedia-tera-the-rock-como-protagonista-2823 … , #AlexandraDaddario #DavidHasselhoff #DwayneJohnson #Kellypic.twitter.com/nHZ5bZdMGn",1.0,1.0,2,1494122730000,7:05 PM - 6 May 2017,/pipocaloucabr/status/861039253706469377,
1568946294-3909,https://twitter.com/search?f=tweets&q=%23baywatch%20since%3A2017-05-05%20until%3A2017-05-08&src=typd,@baywatch,Baywatch,ICYMI #BAYWATCH TRAILER http://www.justjared.com/2017/04/26/baywatch-releases-new-action-packed-trailer-watch-now/ …,,,,1494015901000,1:25 PM - 5 May 2017,/baywatch/status/860591181532725248,
1568946294-3921,https://twitter.com/search?f=tweets&q=%23baywatch%20since%3A2017-05-05%20until%3A2017-05-08&src=typd,@thestarguards,The Starguards,Love the show. Want to see more! #HoffTheRecord #TheHoff #Baywatch the Movie! https://twitter.com/HoffTheRecordTV/status/860146040103723013 …,,,2,1494013494000,12:44 PM - 5 May 2017,/thestarguards/status/860581084928593920,
1568946294-3868,https://twitter.com/search?f=tweets&q=%23baywatch%20since%3A2017-05-05%20until%3A2017-05-08&src=typd,@bevo_latte,Bevolatte,#Baywatch https://www.youtube.com/watch?v=gUFgJ8f9slo …,,1.0,,1494030958000,5:35 PM - 5 May 2017,/bevo_latte/status/860654335629328386,
1568946294-4076,https://twitter.com/search?f=tweets&q=%23baywatch%20since%3A2017-05-05%20until%3A2017-05-08&src=typd,@sjngyoo,S.J.Y. (소정),omg! super excited~!!!! <3 applied for it! thanks for the chance!!! #toronto #mrwillwong #BAYWATCH,,,,1493945075000,5:44 PM - 4 May 2017,/sjngyoo/status/860294115526934528,
1568946294-3785,https://twitter.com/search?f=tweets&q=%23baywatch%20since%3A2017-05-05%20until%3A2017-05-08&src=typd,@cineworld,Cineworld Cinemas,ICYMI: You get a chance to see the hilarious #Baywatch early at our next Unlimited Screening this May! Book now >> http://bit.ly/2pKQ0iT pic.twitter.com/8kxSUSEhZA,3.0,1.0,11,1494090007000,10:00 AM - 6 May 2017,/cineworld/status/860902003668418560,
1568946294-4035,https://twitter.com/search?f=tweets&q=%23baywatch%20since%3A2017-05-05%20until%3A2017-05-08&src=typd,@THR,Hollywood Reporter,#Baywatch then and now: See the film's stars vs. the TV favorites http://thr.cm/tsZYgj pic.twitter.com/Frxk0QSHvr,,12.0,32,1493973603000,1:40 AM - 5 May 2017,/THR/status/860413772887982085,
1568946294-3632,https://twitter.com/search?f=tweets&q=%23baywatch%20since%3A2017-05-05%20until%3A2017-05-08&src=typd,@G_Austin31,Austin,Ima have to check out that #Baywatch when it hits theaters.,,,,1494189096000,1:31 PM - 7 May 2017,/G_Austin31/status/861317613384806400,
1568946294-4027,https://twitter.com/search?f=tweets&q=%23baywatch%20since%3A2017-05-05%20until%3A2017-05-08&src=typd,@riyojewellery,RiyoJewellery,#mustache #baywatch #jeweller #sono #chocolate #Riyo #jewelry #gems #Handmade #Copper #Pendant http://stores.ebay.de/riyode pic.twitter.com/ggdPaVN6M7,,,1,1493976766000,2:32 AM - 5 May 2017,/riyojewellery/status/860427039769321473,
1568946294-4057,https://twitter.com/search?f=tweets&q=%23baywatch%20since%3A2017-05-05%20until%3A2017-05-08&src=typd,@LogoTV,Logo  🏳️‍🌈,Let’s hit the beach! Giving us #Baywatch vibes with this walk RN. #FireIslandpic.twitter.com/npdn9Wb958,,1.0,6,1493954526000,8:22 PM - 4 May 2017,/LogoTV/status/860333757164691456,
1568946294-4065,https://twitter.com/search?f=tweets&q=%23baywatch%20since%3A2017-05-05%20until%3A2017-05-08&src=typd,@AdamStrauss81,PetrarchanDitty,A great 90s TV show is gonna be remade as a movie!!!  #Baywatch #LifeguardsAreHot,,,,1493950065000,7:07 PM - 4 May 2017,/AdamStrauss81/status/860315047985381376,
1568946294-3678,https://twitter.com/search?f=tweets&q=%23baywatch%20since%3A2017-05-05%20until%3A2017-05-08&src=typd,@cinefilosit,Cinefilos.it,#ILoveCinefilos #Baywatch ecco la squadra in tre nuovi spot tv http://www.youtube.com/watch?v=ofgkV-fQh5I … http://www.cinefilos.it/cinema-news/2017b/baywatch-ecco-la-squadra-in-tre-nuovi-spot-tv-345078 …,,,,1494165844000,7:04 AM - 7 May 2017,/cinefilosit/status/861220086794813440,
1568946294-3600,https://twitter.com/search?f=tweets&q=%23baywatch%20since%3A2017-05-05%20until%3A2017-05-08&src=typd,@matiuadex,matiuadex,Baywatch: Red Band Trailer To Be Released Next Week https://matiuadex.com/2017/05/07/baywatch-red-band-trailer-to-be-released-next-week/ … via @matiuadex #hollywood #movies  #movietwit #baywatch,,1.0,,1494199654000,4:27 PM - 7 May 2017,/matiuadex/status/861361897529982976,
1568946294-3666,https://twitter.com/search?f=tweets&q=%23baywatch%20since%3A2017-05-05%20until%3A2017-05-08&src=typd,@Mr_Lambert87,MYKΛL,Last night my mom attempted to take you home  @TheRock #BAYWATCH #StealingDJpic.twitter.com/FlAbF4vDcZ,,1.0,10,1494174048000,9:20 AM - 7 May 2017,/Mr_Lambert87/status/861254500723576832,
1568946294-3680,https://twitter.com/search?f=tweets&q=%23baywatch%20since%3A2017-05-05%20until%3A2017-05-08&src=typd,@DonAdny,Don Rahman,#Lifeguard #baywatch #jogjabay #waterpark @ Yogyakarta https://www.instagram.com/p/BTyzVcRhci-/,,,,1494165801000,7:03 AM - 7 May 2017,/DonAdny/status/861219908067106816,
1568946294-3771,https://twitter.com/search?f=tweets&q=%23baywatch%20since%3A2017-05-05%20until%3A2017-05-08&src=typd,@stephinglisjudo,Stephanie Inglis,Is it even a Dwayne Johnson movie unless there's some kick ass fight scenes??  can't wait for #baywatch the rock and zac effron,,,4,1494097494000,12:04 PM - 6 May 2017,/stephinglisjudo/status/860933406724689927,
1568946294-4010,https://twitter.com/search?f=tweets&q=%23baywatch%20since%3A2017-05-05%20until%3A2017-05-08&src=typd,@Riyogems,Riyogems,#mustache #baywatch https://riyogems.wordpress.com/2017/05/05/mustache-baywatch-5/ …,,,,1493977428000,2:43 AM - 5 May 2017,/Riyogems/status/860429816524406784,
1568946294-4073,https://twitter.com/search?f=tweets&q=%23baywatch%20since%3A2017-05-05%20until%3A2017-05-08&src=typd,@murderbytomes,Sarah Rennie,"The #Baywatch movie looks really fucking stupid, but this trailer just made me laugh, so I'll give it a chance.",,,1,1493946516000,6:08 PM - 4 May 2017,/murderbytomes/status/860300159350996992,
1568946294-3840,https://twitter.com/search?f=tweets&q=%23baywatch%20since%3A2017-05-05%20until%3A2017-05-08&src=typd,@VoiceAllahabad,Prayagraj District,Priyanka chopra's upcoming movie #Baywatch on 25 May http://fb.me/2SLhWyUTr,,,,1494044733000,9:25 PM - 5 May 2017,/VoiceAllahabad/status/860712110594154496,
1568946294-3734,https://twitter.com/search?f=tweets&q=%23baywatch%20since%3A2017-05-05%20until%3A2017-05-08&src=typd,@19Rusty88,James Campbell,"You always do a great job in movies mate, looking forward to seeing this one as well  #Baywatch #AvengersOfTheBeach",,,,1494125217000,7:46 PM - 6 May 2017,/19Rusty88/status/861049688396410880,
1568946294-3845,https://twitter.com/search?f=tweets&q=%23baywatch%20since%3A2017-05-05%20until%3A2017-05-08&src=typd,@Charmboard,Charmboard,"A sporty beach look for the weekend from #DwayneJohnson is what you need! Touch to decode!
#LiveInspired #baywatch
https://goo.gl/6p887p",,,,1494043202000,9:00 PM - 5 May 2017,/Charmboard/status/860705691207573504,
1568946294-3834,https://twitter.com/search?f=tweets&q=%23baywatch%20since%3A2017-05-05%20until%3A2017-05-08&src=typd,@LePetitFloo,Flor 👱🏼‍♀️,"E poi ti svegli la mattina e in tv c'è #Baywatch: costumi rossi e sgambati, spiagge immense. I meravigliosi anni '90 e tanta malinconia",,,1,1494054967000,12:16 AM - 6 May 2017,/LePetitFloo/status/860755035675820033,
1568946294-3989,https://twitter.com/search?f=tweets&q=%23baywatch%20since%3A2017-05-05%20until%3A2017-05-08&src=typd,@HazelMayLtd,Hazel May,"Pamela Anderson launches fur-free crusade on the white house 
http://ht.ly/xSsb30brfdD 
#pammy #pamelaanderson #baywatch #furfree #idmag #coat",,,1,1493985655000,5:00 AM - 5 May 2017,/HazelMayLtd/status/860464322681745408,
1568946294-3750,https://twitter.com/search?f=tweets&q=%23baywatch%20since%3A2017-05-05%20until%3A2017-05-08&src=typd,@TaylorAllen133,Taylor Allen,Last two F5 vetoes have been #ShomiChallenge wonder if they will be doing #Baywatch this one #BBCAN5,,,,1494112531000,4:15 PM - 6 May 2017,/TaylorAllen133/status/860996477446901761,
1568946294-3649,https://twitter.com/search?f=tweets&q=%23baywatch%20since%3A2017-05-05%20until%3A2017-05-08&src=typd,@love_estonia,Love Estonia  💙 🇪🇪,Don't miss @TheRock's big #BAYWATCH interview coming soon to http://theversion.co.uk . Read what @ZacEfron has to say in it tomorrow...pic.twitter.com/lxRNmBckZO,,1.0,1,1494181276000,11:21 AM - 7 May 2017,/love_estonia/status/861284816687386624,
1568946294-4013,https://twitter.com/search?f=tweets&q=%23baywatch%20since%3A2017-05-05%20until%3A2017-05-08&src=typd,@Riyogems,Riyogems,#mustache #baywatch https://riyogems.wordpress.com/2017/05/05/mustache-baywatch-2/ …,,,,1493977406000,2:43 AM - 5 May 2017,/Riyogems/status/860429724031627264,
1568946294-3738,https://twitter.com/search?f=tweets&q=%23baywatch%20since%3A2017-05-05%20until%3A2017-05-08&src=typd,@KADEN,KADEN,"Slow motion running in 3-2-1... 

#baywatch #baywatchmovie #guyswholift #malibu #guy #beach… https://www.instagram.com/p/BTxg60yhSkg/",,,1,1494122600000,7:03 PM - 6 May 2017,/KADEN/status/861038711294668800,
1568946294-3962,https://twitter.com/search?f=tweets&q=%23baywatch%20since%3A2017-05-05%20until%3A2017-05-08&src=typd,@sydharthydv,Sid,"#gaurdiansofthegalaxyvol2, #everybody by @Logic301 hyped me. It's time to get hyped for #BAYWATCH @ZacEfron @TheRock @AADaddario",1.0,1.0,1,1493998218000,8:30 AM - 5 May 2017,/sydharthydv/status/860517015768805377,
1568946294-3668,https://twitter.com/search?f=tweets&q=%23baywatch%20since%3A2017-05-05%20until%3A2017-05-08&src=typd,@chachkalica,Anđela Pavlović,#baywatch #sunset #goldenhour #miamibeach #southbeach #miamisouthbeach #usa… https://www.instagram.com/p/BTy9uitFI6X/,,,2,1494171252000,8:34 AM - 7 May 2017,/chachkalica/status/861242771474141184,
1568946294-3907,https://twitter.com/search?f=tweets&q=%23baywatch%20since%3A2017-05-05%20until%3A2017-05-08&src=typd,@PflukeSammie,Sammie pfluke,@TheRock I'm so excited to see the Rock in the movie #Baywatch,,,,1494016066000,1:27 PM - 5 May 2017,/PflukeSammie/status/860591875694235648,
1568946294-3822,https://twitter.com/search?f=tweets&q=%23baywatch%20since%3A2017-05-05%20until%3A2017-05-08&src=typd,@Aerithita,Peter  ✨ // Létolas,YAS! Got tickets! Hahahahaha #baywatch https://www.instagram.com/p/BTvz5bQjcBU/,,,,1494065433000,3:10 AM - 6 May 2017,/Aerithita/status/860798936000462849,
1568946294-4032,https://twitter.com/search?f=tweets&q=%23baywatch%20since%3A2017-05-05%20until%3A2017-05-08&src=typd,@anghami,Anghami,"Excited to see the #Baywatch movie? The soundtrack is filled with hits by @LifeOfDesiigner, @duttypaul & others  http://bit.ly/2qHbn2s",1.0,3.0,12,1493974835000,2:00 AM - 5 May 2017,/anghami/status/860418937896525824,
1568946294-3778,https://twitter.com/search?f=tweets&q=%23baywatch%20since%3A2017-05-05%20until%3A2017-05-08&src=typd,@The_Ent_Factor,Entertainment Factor,BAYWATCH (2017) soundtrack featuring various artists released by @IslandRecords https://goo.gl/9KIoE4  #Baywatch #BAYWATCHMOVIE #soundtrackpic.twitter.com/9dskbQoYM8,,,,1494094531000,11:15 AM - 6 May 2017,/The_Ent_Factor/status/860920981501726720,
1568946294-3874,https://twitter.com/search?f=tweets&q=%23baywatch%20since%3A2017-05-05%20until%3A2017-05-08&src=typd,@biancalg,Bianca Lloyd-Gomez,#Baywatch https://www.youtube.com/watch?v=gUFgJ8f9slo …,,,,1494027691000,4:41 PM - 5 May 2017,/biancalg/status/860640634520162304,
1568946294-3658,https://twitter.com/search?f=tweets&q=%23baywatch%20since%3A2017-05-05%20until%3A2017-05-08&src=typd,@RAWisROLLIE,RoBeast Rollie,"Rock, Paper, No Scissors #WWE, #THEROCK, #NYT, #BAYWATCH, #2017 pic.twitter.com/kpTXFumyuL",,,,1494177214000,10:13 AM - 7 May 2017,/RAWisROLLIE/status/861267776006172673,
1568946294-3654,https://twitter.com/search?f=tweets&q=%23baywatch%20since%3A2017-05-05%20until%3A2017-05-08&src=typd,@MouthShut_com,MouthShut.com,4/5 #Review on #Baywatch by ayan0212 http://www.mouthshut.com/review/Baywatch-review-plstqpqnlum …,,,,1494179485000,10:51 AM - 7 May 2017,/MouthShut_com/status/861277301878669316,
1568946294-3863,https://twitter.com/search?f=tweets&q=%23baywatch%20since%3A2017-05-05%20until%3A2017-05-08&src=typd,@WhitneyKaulbach,Whitney Kaulbach,Ba ba #baywatch voy Bahia https://www.instagram.com/p/BTu2X-mA-Kv/,,,,1494033177000,6:12 PM - 5 May 2017,/WhitneyKaulbach/status/860663642555117569,
1568946294-3892,https://twitter.com/search?f=tweets&q=%23baywatch%20since%3A2017-05-05%20until%3A2017-05-08&src=typd,@hipslikePC,the sky is pink  ✈️ october 11!,Early predictions for #Baywatch pic.twitter.com/wD9plHc3y1,,3.0,4,1494021213000,2:53 PM - 5 May 2017,/hipslikePC/status/860613462157918208,
1568946294-3635,https://twitter.com/search?f=tweets&q=%23baywatch%20since%3A2017-05-05%20until%3A2017-05-08&src=typd,@entertainmentIE,entertainment.ie,"#win tickets to the Irish Premiere Screening of #Baywatch 
http://e1.ie/3tcq 
@ParamountIRLpic.twitter.com/3Oq5gHyIez",,1.0,1,1494187801000,1:10 PM - 7 May 2017,/entertainmentIE/status/861312183682170880,
1568946294-4060,https://twitter.com/search?f=tweets&q=%23baywatch%20since%3A2017-05-05%20until%3A2017-05-08&src=typd,@MsVinaD,Vinatainment Inc. (News),Swupe for larger images without the collage. #HarpoWhoDisWoman #MamaJune rocking her #Baywatch… https://www.instagram.com/p/BTsd1nMAikE/,,,,1493953204000,8:00 PM - 4 May 2017,/MsVinaD/status/860328213427494912,
1568946294-3743,https://twitter.com/search?f=tweets&q=%23baywatch%20since%3A2017-05-05%20until%3A2017-05-08&src=typd,@ActualidadBotG,Аctualidad ❝ΒΟΤ❞ G,"Es difícil elegir solo uno, pero ¿cuál sería tu opción? Johnson vs Efron #Baywatch #GuardianesDeLaBahía ¡Estreno 2…https://twitter.com/AndesFilmsChile/status/860986285477048320 …",,,,1494117573000,5:39 PM - 6 May 2017,/ActualidadBotG/status/861017624976773120,
1568946294-3646,https://twitter.com/search?f=tweets&q=%23baywatch%20since%3A2017-05-05%20until%3A2017-05-08&src=typd,@SamanthaHarris,Samantha Harris,Yes!!! You guessed right--I'm in baywatchmovie #Baywatch! In theaters at the end of May. Small… https://www.instagram.com/p/BTzSdS5gxfb/,,,3,1494182119000,11:35 AM - 7 May 2017,/SamanthaHarris/status/861288349897826304,
1568946294-3876,https://twitter.com/search?f=tweets&q=%23baywatch%20since%3A2017-05-05%20until%3A2017-05-08&src=typd,@GemPinkney,Gem Pinkney,I get abnormally excited by the everchanging billboards on #SunsetBlvd  #la #animalkingdon #baywatch #castingjonbenetpic.twitter.com/qiIIucmNIu,,,1,1494026265000,4:17 PM - 5 May 2017,/GemPinkney/status/860634652289019904,
1568946294-3764,https://twitter.com/search?f=tweets&q=%23baywatch%20since%3A2017-05-05%20until%3A2017-05-08&src=typd,@ehs_wildcats,EHS,New #Baywatch article from the July 2017 issue of Total Film: pic.twitter.com/j4iU6AIhqN,1.0,21.0,26,1494102449000,1:27 PM - 6 May 2017,/ehs_wildcats/status/860954188796264448,
1568946294-3662,https://twitter.com/search?f=tweets&q=%23baywatch%20since%3A2017-05-05%20until%3A2017-05-08&src=typd,@KenWPac,Ken P,@TheRock twinning #Baywatch pic.twitter.com/CD0Fk2SpGR,,,1,1494175253000,9:40 AM - 7 May 2017,/KenWPac/status/861259554604109825,
1568946294-3801,https://twitter.com/search?f=tweets&q=%23baywatch%20since%3A2017-05-05%20until%3A2017-05-08&src=typd,@PriyankaDailyFC,PRIYANKA DAILY,"Video: @PriyankaChopra Most Bankable Badass #Baywatch 
https://www.youtube.com/watch?v=dgM50We84n0&feature=youtu.be …pic.twitter.com/Cacht8qcXG",,13.0,31,1494080093000,7:14 AM - 6 May 2017,/PriyankaDailyFC/status/860860424899768320,
